id,rose_meaning_id,sort_order,is_primary,meaning
1,1,1,true,一目ぼれ
2,1,2,false,あなたしかいない
3,2,1,true,この世界は二人だけ
4,2,2,false,あなたと私だけ
5,3,1,true,愛しています
6,3,2,false,告白
7,4,1,true,死ぬまで気持ちは変わりません
8,5,1,true,あなたに出会えた事の心からの喜び
9,6,1,true,あなたに夢中
10,6,2,false,お互いに愛し、分かち合いましょう
11,7,1,true,ひそかな愛
12,8,1,true,あなたの思いやりに感謝します
13,9,1,true,いつも一緒にいてください
14,9,2,false,いつもあなたを想っています
15,10,1,true,あなたは全てが完璧です
16,11,1,true,最愛
17,11,2,false,あなたは私の宝物
18,12,1,true,私と付き合ってください
19,12,2,false,奥さんになってください
20,13,1,true,永遠の友情
21,13,2,false,友情は変わらない
22,14,1,true,誇りに思う
23,15,1,true,ごめんなさい
24,15,2,false,永遠の友情
25,16,1,true,不安な愛
26,17,1,true,絶望的な愛
27,18,1,true,誠実
28,19,1,true,期待と忍耐
29,19,2,false,期待しています
30,20,1,true,私のひとひらの誠意
31,21,1,true,あなただけに尽くします
32,22,1,true,あなたの幸せを祈ります
33,23,1,true,一日中思っています
34,24,1,true,あなたの幸せを祈る
35,25,1,true,縁を信じます
36,25,2,false,信じる心
37,26,1,true,ドラマチックな愛
38,26,2,false,覚えています
39,27,1,true,死ぬまで変わらぬ愛を誓います
40,28,1,true,恒久の愛
41,28,2,false,永遠に変わらぬ愛
42,29,1,true,永遠の愛
43,29,2,false,ずっと一緒にいてください
44,30,1,true,100％の愛
45,31,1,true,最高に愛しています
46,32,1,true,私と結婚してください
47,33,1,true,結婚してください
48,34,1,true,何度生まれ変わっても愛します
49,35,1,true,毎日あなたが恋しい
50,36,1,true,何度生まれ変わってもあなたを愛する
51,37,1,true,1万年の愛を誓います
52,37,2,false,永遠の愛
53,38,1,true,永遠に
