id,count,quiz_enabled,description
1,1,true,「一目ぼれ」と同時に「あなたしかいない」という一途な告白を伝える定番の本数。
2,2,true,パートナーとの強い絆や、この世界に二人きりのような深い愛情を意味する。
3,3,true,プロポーズや告白に最も多く使われる数。ストレートな愛のメッセージ。
4,4,true,永遠の愛を誓う強い意志が込められた、一生もののメッセージを持つ数。
5,5,true,奇跡的な出会いへの感謝や、純粋な喜びを伝えるメッセージ。
6,6,true,お互いに高め合える熱狂的な恋や、深い信頼関係を象徴する。
7,7,true,密かに思いを寄せる片思いの気持ちや、内なる情熱を表す。
8,8,true,相手の優しさ、気遣い、励ましへの感謝を伝えるのに最適な本数。
9,9,true,「永遠の愛」を意味し、長年連れ添ったパートナーや大切な人への贈り物に最適。
10,10,true,相手の内面も外見も、すべてを称賛しリスペクトする言葉。
11,11,true,「あなたは私の最愛の人」という、最も特別で強い愛の意味を持つ。
12,12,true,感謝や誠実など12の誓い（ダズンローズ）を贈る、伝統の風習に由来する本数。
13,13,false,友人との固い絆を象徴するが、海外では別の不吉な意味とされることもある。
14,14,true,相手の存在や日頃の功績、生き方を誇らしく思うリスペクトの気持ち。
15,15,true,謝罪や許しを請う意味を持つ一方で、友人へ贈る場合は友情の証にもなる数。
16,16,true,恋愛における揺れ動く感情や、心の不安定さを表す切ない花言葉。
17,17,true,手の届かない存在への思いや、実らぬ恋への深い絶望を象徴する。
18,18,true,浮気心のない一途な心や、揺るぎない信頼関係の証明。
19,19,true,これからの二人の関係の発展を、前向きに楽しみに待つ姿勢を表す。
20,20,true,不器用ながらも、自分の精いっぱいの真心を伝えるメッセージ。
21,21,true,心も体もすべてを相手に捧げる、一途で強い愛の誓い。
22,22,false,何よりも相手の幸福を最優先に願う、利他的で深い愛。
23,24,true,24時間、朝から晩までいつも相手のことを考えているという意味。
24,25,true,これからの歩みや未来に対して、たくさんの幸運を願うメッセージ。
25,30,true,二人が出会った運命的な巡り合わせや、お互いの絆の確信。
26,36,true,映画や小説のような劇的な恋愛関係や、大切な思い出を象徴。
27,40,true,一生をかけて一人の人を愛し続ける、真剣で重みのある誓い。
28,50,true,年月が経っても決して色褪せることのない、永遠の愛を意味する。
29,99,true,「九十九」が永遠を連想させ、プロポーズの定番として非常に人気の高い本数。
30,100,true,混じり気のない完全な愛情、完璧な絆、そして純粋な想いを祝福する。
31,101,false,100％を超えた「これ以上ないほどの情熱」を証明するロマンチックな数。
32,105,false,ストレートに結婚を申し込む、プロポーズ専用の強い意味を持つ本数。
33,108,true,「トワ（108）に愛する」の語呂合わせから、プロポーズで最も人気がある数。
34,144,true,12の12倍（ダズンローズの掛け合わせ）で、輪廻転生を超えた永遠の誓い。
35,365,true,1年の日数と同じで、365日欠かすことなく毎日あなたを愛しているという情熱的な意味。
36,999,true,現世だけでなく、来世でもまた結ばれたいという究極の愛のメッセージ。
37,1000,false,気の遠くなるような長い年月、世代を超えて愛し続けるという壮大な誓い。
38,1001,true,1000に1を加えることで「終わりがない」「無限に続く」という意味を表す、特別な本数。
